Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
43;LONG;2025-04-25 08:20:00;2025-04-25 11:35:00;195.0;3439.4;34.77;3454.8;34.8;-3.56;1.09;TP_ZSCORE;0.5352;1;1;-1540.0;150.0;-1390.0;148.0;-1538.0;0.0;-1780.0;-4262.0
44;SHORT;2025-07-15 19:00:00;2025-07-15 21:05:00;125.0;3467.9;39.343;3465.5;39.313;4.21;-1.77;TP_ZSCORE;0.5252;1;1;-240.0;150.0;-90.0;148.0;-238.0;335.0;-90.0;-4500.0
45;LONG;2025-07-17 01:10:00;2025-07-17 04:30:00;200.0;3470.6;39.373;3466.2;39.258;-3.74;1.08;TP_ZSCORE;0.4931;1;1;440.0;-575.0;-135.0;148.0;-283.0;290.0;-525.0;-4783.0
46;LONG;2025-09-22 19:00:00;2025-09-22 20:40:00;100.0;3857.2;45.002;3867.5;45.017;-4.23;1.01;TP_ZSCORE;1.9274;1;1;-1030.0;75.0;-955.0;148.0;-1103.0;0.0;-955.0;-5886.0
47;SHORT;2025-09-28 22:35:00;2025-09-28 23:55:00;80.0;3901.5;47.867;3908.2;47.817;3.64;-1.23;TP_ZSCORE;1.3561;1;1;670.0;250.0;920.0;148.0;772.0;920.0;-680.0;-5114.0
48;LONG;2025-10-09 22:00:00;2025-10-10 00:05:00;125.0;4062.8;47.992;4059.3;48.062;-3.54;1.38;TP_ZSCORE;0.7802;1;1;350.0;350.0;700.0;148.0;552.0;905.0;-5.0;-4562.0
49;LONG;2025-10-28 03:25:00;2025-10-28 04:30:00;65.0;4002.7;46.457;3991.2;46.607;-3.89;1.06;TP_ZSCORE;1.3605;1;1;1150.0;750.0;1900.0;148.0;1752.0;1900.0;0.0;-2810.0
50;LONG;2025-11-19 07:30:00;2025-11-19 09:10:00;100.0;4182.5;52.387;4205.8;52.852;-3.56;1.1;TP_ZSCORE;1.8862;1;1;-2330.0;2325.0;-5.0;148.0;-153.0;0.0;-1240.0;-2963.0
51;LONG;2025-12-31 02:55:00;2025-12-31 04:30:00;95.0;4357.4;70.515;4358.3;71.22;-3.58;1.1;TP_ZSCORE;2.2175;2;1;-180.0;3525.0;3345.0;192.0;3153.0;3345.0;0.0;190.0
52;LONG;2026-01-12 23:30:00;2026-01-13 00:35:00;65.0;4637.2;84.66;4625.1;84.73;-3.51;1.36;TP_ZSCORE;2.7498;3;1;3630.0;350.0;3980.0;236.0;3744.0;3980.0;0.0;3934.0
53;LONG;2026-01-15 17:30:00;2026-01-15 19:00:00;90.0;4650.2;90.4;4641.5;90.965;-3.94;1.62;TP_ZSCORE;3.7028;4;1;3480.0;2825.0;6305.0;280.0;6025.0;6305.0;0.0;9959.0
54;LONG;2026-01-16 07:00:00;2026-01-16 09:15:00;135.0;4640.9;88.775;4643.8;88.725;-3.8;1.19;TP_ZSCORE;3.8442;4;1;-1160.0;-250.0;-1410.0;280.0;-1690.0;3185.0;-4070.0;8269.0
55;LONG;2026-01-18 17:30:00;2026-01-18 19:05:00;95.0;4722.1;93.85;4716.2;94.06;-3.81;2.21;TP_ZSCORE;4.051;4;1;2360.0;1050.0;3410.0;280.0;3130.0;3410.0;-2295.0;11399.0
56;SHORT;2026-01-21 13:35:00;2026-01-21 14:55:00;80.0;4813.7;90.83;4868.0;92.495;3.56;-1.1;TP_ZSCORE;2.8727;3;1;16290.0;-8325.0;7965.0;236.0;7729.0;7965.0;-1895.0;19128.0
57;LONG;2026-02-02 23:25:00;2026-02-03 01:10:00;105.0;4861.9;83.135;4916.0;86.265;-3.52;1.96;TP_ZSCORE;2.3306;2;1;-10820.0;15650.0;4830.0;192.0;4638.0;4895.0;-1695.0;23766.0
58;LONG;2026-02-04 17:30:00;2026-02-04 19:00:00;90.0;5040.8;88.785;5024.0;88.955;-3.63;1.04;TP_ZSCORE;2.6076;2;1;3360.0;850.0;4210.0;192.0;4018.0;4575.0;0.0;27784.0
59;LONG;2026-02-05 17:30:00;2026-02-05 19:00:00;90.0;4770.6;67.79;4764.5;71.06;-4.04;2.55;TP_ZSCORE;2.9839;2;1;1220.0;16350.0;17570.0;192.0;17378.0;17570.0;-2230.0;45162.0
60;LONG;2026-02-08 17:30:00;2026-02-08 19:05:00;95.0;5057.1;79.445;5036.5;79.575;-3.98;2.21;TP_ZSCORE;3.2935;3;1;6180.0;650.0;6830.0;236.0;6594.0;6830.0;-1565.0;51756.0
